id,vorname,name,wohnort,geburtsdatum,sternzeichen,zivilstand,groesse,gewicht,hobbys,erlernter_beruf,jetziger_beruf,besonderes,bild_url,tv,knt_gau,kranz_all,kranz_eid,kranz_tv,kranz_berg,kranz_knt_gau,kranz_2025,link_pdf
4,Matthias,Aeschbacher,Rüegsauschachen,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7502.jpg,BKSV,Emmental,97,2,19,24,52,2,https://esv.ch/schwingerportraets/Aeschbacher_Matthias_Rueegsauschachen.pdf
5,Nick,Alpiger,Seon,,,,,,,,,,https://esv.ch/pics/schwinger/large/Alpiger_Nick_AG__KOE2880.JPG,NWSV,Aargau,68,2,14,15,37,3,https://esv.ch/schwingerportraets/Alpiger_Nick_Seon.pdf
6,Joel,Ambühl,Hergiswil b. Willisau,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Ambuehl_Joel_620067.jpg,ISV,Luzern,32,1,5,4,22,3,https://esv.ch/schwingerportraets/Ambuehl_Joel_Hergiswil_b_Willisau.pdf
7,Jonas,Amrhyn,Ruswil,,,,,,,,,,,ISV,Luzern,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Amrhyn_Jonas_Ruswil.pdf
8,Silvan,Appert,Ingenbohl,,,,,,,,,,,ISV,Schwyz,7,0,0,0,7,2,https://esv.ch/schwingerportraets/Appert_Silvan_Ingenbohl.pdf
9,Fabian,Aregger,Hergiswil b. Willisau,,,,,,,,,,,ISV,Luzern,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Aregger_Fabian_Hergiswil_b_Willisau.pdf
10,Fabian,Arnold,Altdorf UR,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Arnold_Fabian_620323.jpg,ISV,Uri,6,0,0,0,6,1,https://esv.ch/schwingerportraets/Arnold_Fabian_Schattdorf2.pdf
11,Janos,Bachmann,Wildberg,,,,,,,,,,,NOSV,Zürich,4,0,0,0,4,1,https://esv.ch/schwingerportraets/Bachmann_Janos_Wildberg.pdf
12,Christoph,Baeriswyl,St. Antoni,,,,,,,,,,,SWSV,Fribourgeoise,10,0,2,0,8,1,https://esv.ch/schwingerportraets/Baeriswyl_Christoph_St_Antoni.pdf
13,Sandro,Balimann,Finsterhennen,,,,,,,,,,https://esv.ch/pics/schwinger/large/SWSV_Balimann_Sandro_080671.jpg,SWSV,Fribourgeoise,7,0,0,0,7,1,https://esv.ch/schwingerportraets/Balimann_Sandro_Finsterhennen.pdf
14,François,Barras,Oey,,,,,,,,,,,BKSV,Oberland,3,0,1,0,2,1,https://esv.ch/schwingerportraets/Barras_Francois_Oey2.pdf
